Annual Income,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Default,Id,Credit Score,Years in current job_0,Years in current job_1,Years in current job_2,Years in current job_3,Years in current job_4,Years in current job_5,Years in current job_6,Years in current job_7,Years in current job_8,Years in current job_9,Years in current job_10,Term_Long Term,Term_Short Term,Home Ownership_2,Home Ownership_1,Purpose_1,Purpose_2,Purpose_3
578094,0,12,16,461714,0,0,145024,116831,13393,0,4385,738,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1034037,0,9,31,326678,1,0,217690,152646,27057,0,4386,721,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1165536,0,15,23,909348,0,0,342782,125647,30595,0,4387,728,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
678794,0,6,11,526240,0,0,392986,295412,8994,1,4389,704,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1163256,0,16,35,829708,0,0,403612,397689,25416,0,4391,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,15,21,416394,1,1,261646,181963,28523,0,4392,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1390021,0,9,14,583044,0,0,214610,117325,18997,0,4394,712,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1448940,0,10,20,1250392,0,0,268444,387676,19440,1,4395,733,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2080728,0,13,21,430760,0,0,178464,312132,27917,1,4397,701,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
983820,0,6,16,0,0,0,44682,0,5288,0,4398,748,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,13,20,890714,0,0,718498,436164,30122,1,4399,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,7,25,211090,1,1,251922,108661,7999,0,4401,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,7,14,296868,0,0,221496,150765,11637,1,4402,729,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,25,11,365728,1,1,180620,117173,13093,0,4403,729,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1163256,0,3,22,0,0,0,86724,0,4999,0,4405,729,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1868460,0,7,9,235884,0,0,680416,143431,20086,0,4406,719,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1224873,0,8,11,294734,0,0,327294,127775,19190,0,4407,738,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
517902,0,3,7,44748,0,0,267960,19836,10013,1,4409,737,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1207659,0,4,23,248072,0,0,430232,30210,11392,0,4410,702,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
468597,0,6,11,319000,0,0,194238,147668,4373,0,4412,716,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1410180,0,6,23,544104,0,0,217712,307800,13397,0,4413,745,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1157499,0,15,18,568480,1,1,216172,189506,12250,0,4414,709,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
988589,0,9,22,587532,1,0,220132,184699,13428,0,4415,733,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1063924,0,7,14,585574,0,0,188144,66747,11260,0,4417,750,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
965675,0,20,13,798534,1,1,250470,89661,26154,1,4418,709,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
431091,0,9,8,239404,0,0,48796,87875,8299,0,4419,724,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
349220,0,5,15,101156,0,0,40436,34770,6926,0,4420,750,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
780596,0,9,10,265364,0,0,173822,101992,22182,0,4421,723,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,19,16,882200,0,0,216546,316958,17492,0,4422,729,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1801751,0,8,9,239470,0,0,181170,156560,19219,0,4423,746,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,14,20,621104,0,0,218042,468293,31212,0,4424,729,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
897769,0,2,17,4334,0,0,43318,3382,7392,0,4425,708,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1918810,0,15,16,727100,0,0,348524,292619,17269,1,4426,731,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1163256,0,9,26,1452000,0,0,329604,634524,10055,0,4427,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,14,19,555522,1,1,261514,307534,22962,0,4428,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1908170,0,8,10,487300,0,0,220946,46284,7378,0,4429,751,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,18,18,754336,0,0,128480,155040,7822,1,4430,729,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,17,17,592196,0,0,554136,323247,37621,1,4431,729,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1163256,0,9,17,764126,0,0,481910,440173,17421,0,4432,729,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,17,23,1381292,0,0,656172,566637,24925,0,4433,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1097402,0,15,9,57992,0,0,355014,31654,11797,1,4434,704,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1035177,0,11,15,662002,0,0,528484,277856,21911,1,4435,730,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
605796,0,13,9,416636,0,0,111342,176320,14337,1,4436,748,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1163256,0,19,17,1040864,0,0,130614,87191,20869,0,4437,729,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1193903,0,11,20,292578,1,1,193424,146566,26166,0,4438,707,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
254410,0,4,7,95128,0,0,85954,67203,2905,1,4440,646,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
245518,0,17,9,271106,0,0,112068,125020,6363,0,4442,718,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1478979,0,12,13,826980,0,0,593736,208544,36605,0,4443,746,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,15,19,880110,0,0,750838,478857,35098,0,4444,729,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1419186,0,8,25,360162,0,0,270116,12122,390,0,4446,748,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
950190,0,13,27,1032042,0,0,489588,528561,16359,1,4447,614,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1163256,0,8,18,502436,0,0,221276,296362,13600,0,4449,729,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1308853,0,11,16,439384,0,0,162382,97907,10024,0,4450,706,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
668135,0,9,9,296186,0,0,254188,203357,10300,0,4451,731,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1158354,0,11,23,225412,0,0,223542,153786,27028,0,4452,730,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
775827,0,9,19,537658,0,0,286220,336642,10215,0,4453,725,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1683685,0,16,27,1277452,0,0,647636,240502,16977,0,4454,737,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1653266,0,8,17,606408,0,0,326304,237253,10237,0,4456,725,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1258712,0,18,17,591338,0,0,224224,203775,23181,0,4457,745,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
763268,0,9,25,422774,0,0,76384,345040,12021,0,4458,701,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1405164,0,14,11,356598,0,0,445764,292258,27050,0,4459,699,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
985340,0,16,17,798578,0,0,285230,244834,17982,0,4460,716,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,14,9,444642,0,0,110770,81415,7845,0,4462,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1968476,0,12,24,412852,1,1,325622,113734,17880,0,4463,744,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,10,20,109648,1,1,78980,46968,20841,1,4465,729,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1508524,0,11,18,421212,0,0,268730,196441,18228,0,4466,739,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1365112,0,6,18,221320,0,0,21472,171456,14106,1,4467,735,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1163256,0,15,15,472670,0,0,256476,197163,21989,1,4468,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1328803,0,6,11,437162,0,0,395648,320549,17496,0,4470,723,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,1,9,27,301268,2,1,108152,83258,16875,0,4472,729,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1163256,0,17,12,615714,0,0,391930,185573,11734,0,4473,729,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
955719,0,6,16,95502,0,0,130196,66804,10354,1,4476,746,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1112868,0,12,13,321970,1,1,214764,142652,11592,0,4477,736,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
662739,0,10,16,436524,0,0,131560,137598,8174,1,4478,748,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,19,16,855580,0,0,433752,387201,26757,0,4479,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1531248,0,6,15,456478,0,0,132968,250743,12288,0,4480,745,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1163256,0,9,18,1461834,0,0,443872,435556,7535,0,4481,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
810084,0,8,23,708862,0,0,110352,509352,11267,0,4482,737,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,5,18,129932,1,1,259952,69122,13552,0,4483,729,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1257724,0,35,14,1305546,0,0,550044,623523,33854,1,4484,651,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
175845,0,6,17,163592,0,0,60830,74746,3546,0,4485,658,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1377272,0,8,28,594594,0,0,374176,256766,6370,1,4488,733,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
679953,0,8,13,449746,0,0,282348,321993,13883,0,4489,684,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
433295,0,14,14,755150,0,0,144518,183255,9099,1,4490,747,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
705964,0,15,21,456874,0,0,399036,314469,11649,1,4492,703,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
712899,0,5,16,293106,0,0,222662,113411,9981,0,4493,652,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
969627,0,6,10,512204,0,0,194326,370690,18261,1,4494,713,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
2173372,0,12,13,183216,0,0,158928,82289,30608,0,4495,723,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1232910,0,19,19,784366,0,0,483186,412547,18493,1,4496,664,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
779779,0,5,15,253132,1,1,182776,120460,14296,0,4498,741,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1346530,0,10,16,769362,0,0,194898,139536,24798,0,4499,707,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
768968,0,10,8,115698,0,0,204226,59660,14034,0,4502,737,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,23,15,519882,0,0,222992,267596,23327,0,4503,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
563901,0,7,17,71852,1,1,62568,38342,6955,0,4504,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,10,21,1090958,0,0,225544,92340,18335,0,4506,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2326075,0,9,17,654962,0,0,344740,454784,22292,1,4507,713,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1557031,0,9,23,167728,0,0,282480,141664,17140,1,4508,687,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1015645,2,4,14,269456,3,0,129580,77273,2895,0,4509,652,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,13,18,760518,0,0,290664,266665,16180,0,4512,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
787569,0,6,19,393580,0,0,400356,261041,13914,0,4513,721,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1975943,0,9,21,302280,2,1,323774,166820,20747,1,4515,718,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
954693,0,8,10,279290,1,1,223322,162089,21799,0,4517,715,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
581913,0,7,10,345884,0,0,123530,77672,10281,1,4518,747,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1163256,0,9,24,851642,0,0,112046,547219,33728,0,4519,729,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1163256,0,11,18,671418,0,0,164340,46398,8314,0,4521,729,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1765290,0,11,22,470998,0,0,602448,316882,21331,0,4522,720,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1163256,1,5,22,580888,2,1,130526,104842,3005,0,4523,729,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1025924,0,10,22,385616,0,0,112068,300732,24793,1,4524,686,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1870930,0,7,7,424820,0,0,541596,230413,24322,0,4525,671,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
856197,0,15,11,240284,0,0,170742,105222,13414,0,4526,719,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1163256,0,19,20,364452,1,1,258830,194826,8233,0,4528,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1300645,0,7,21,301554,0,0,622050,97660,3848,0,4529,694,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
772844,0,4,15,212520,0,0,134222,151962,4289,1,4530,702,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1968476,0,6,14,166804,1,1,293040,32414,11844,0,4531,732,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,16,23,337876,1,1,337986,223516,23843,1,4532,729,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1163256,0,19,25,334862,0,0,279796,99769,8857,0,4533,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1356068,0,5,15,273746,0,0,179454,130986,9594,0,4534,744,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
745750,0,12,10,277948,0,0,232474,98420,14107,1,4535,721,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
807025,0,11,14,763488,0,0,418836,443764,22395,0,4536,740,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
629071,0,5,8,94952,0,0,146234,61028,2763,1,4541,697,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1220940,0,15,8,753610,0,0,630564,458850,16279,0,4542,695,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,25,15,930754,0,0,326678,332785,20320,0,4543,729,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1674261,0,14,28,410696,1,1,430804,94715,31811,1,4544,637,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
930335,0,13,13,457622,1,1,161018,161652,13180,0,4546,639,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
977132,0,9,12,187044,0,0,435160,77387,6669,0,4547,610,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1117998,0,13,12,971344,0,0,431508,239077,13789,0,4548,741,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,11,14,353606,0,0,73876,64752,11233,0,4549,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
730664,0,13,19,796290,0,0,231550,282644,14004,1,4550,746,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,18,19,323400,0,0,151844,76817,20982,0,4551,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
982338,0,10,18,238326,1,1,343376,182362,26686,0,4552,721,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
849357,0,15,15,642158,0,0,174834,295602,22366,1,4553,740,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,14,15,388542,0,0,434280,183901,13432,0,4556,729,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1184422,0,8,19,719664,0,0,263318,430711,14628,0,4559,732,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1089061,0,7,21,143726,1,1,207966,20729,18696,1,4560,736,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2089373,0,11,21,807136,0,0,483846,303221,9141,0,4561,737,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1163256,0,5,18,517594,0,0,336116,335274,7508,1,4562,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1397507,0,12,18,189860,0,0,161810,108395,21312,1,4563,724,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,14,21,1253164,0,0,220154,165585,21390,0,4565,729,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,13,21,1062050,0,0,483362,513646,28677,1,4566,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1163256,0,18,15,101156,0,0,111936,53390,2902,0,4567,729,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1932300,0,13,10,711920,0,0,380358,303126,17874,0,4568,701,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
231287,0,7,17,136092,0,0,111584,50540,3662,0,4569,740,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
764427,0,12,27,830544,0,0,390214,284753,21977,1,4571,720,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
410894,0,3,9,143132,0,0,237886,122265,2359,1,4572,650,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
971185,0,16,19,1106556,0,0,314864,399475,19667,0,4573,712,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1163256,0,17,16,791648,0,0,759000,422522,26844,0,4574,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
831782,0,5,19,139854,1,1,71676,19323,5497,0,4577,738,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1249573,0,14,19,182534,0,0,84590,84968,11663,1,4578,678,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,19,16,607860,0,0,230868,241490,16702,0,4579,729,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
2270196,0,11,9,856196,0,0,547646,471770,24216,1,4580,681,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,3,14,210606,0,0,310376,120783,7240,0,4581,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
932767,2,17,21,483318,3,1,260084,170715,9172,1,4582,674,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1063392,0,6,12,382844,0,0,456698,205656,9836,0,4583,730,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1848966,0,14,18,513436,0,0,382316,223934,21263,1,4584,746,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,16,28,689832,0,0,458854,291935,15944,1,4585,729,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1415747,0,11,25,283954,0,0,131142,160873,21708,1,4588,722,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2037883,0,5,21,291038,0,0,435534,244055,30568,0,4589,598,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1339006,0,8,21,361768,0,0,215336,237139,13334,0,4590,746,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
604599,0,8,8,144408,0,0,132902,65607,9270,0,4591,741,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1896333,0,7,12,544632,0,0,516648,408747,23072,0,4592,719,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
699523,0,7,12,344146,0,0,289674,129580,13874,1,4593,700,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1313451,0,9,12,440528,0,0,335478,262124,32946,0,4594,747,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,4,15,389620,0,0,197956,267178,14529,0,4595,729,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1242638,0,19,23,393316,0,0,107910,283974,31687,0,4596,703,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1471664,0,10,17,234586,1,1,225038,33421,19868,1,4597,742,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1255748,0,10,18,511720,0,0,134222,42864,3129,0,4601,691,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1163256,0,10,12,531806,0,0,112046,293493,11611,0,4603,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1449377,0,11,17,288662,0,0,447524,221616,23673,0,4607,717,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
822719,0,9,10,782364,0,0,221540,470269,13232,0,4608,741,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1163256,0,4,16,181412,0,0,464398,149777,9877,1,4611,729,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
848597,0,12,19,705342,0,0,327536,377682,12587,0,4612,730,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1197722,0,10,12,816706,0,0,418242,563578,28446,1,4613,698,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
578075,0,6,12,433180,0,0,228778,144039,15704,0,4614,689,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
785232,0,8,31,318494,1,1,116908,106172,14723,1,4616,723,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1485496,0,7,12,453772,0,0,258016,300979,12751,0,4617,736,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
905426,0,9,14,321442,1,1,218416,114931,3946,0,4618,744,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
917586,0,5,14,372724,1,1,260194,223402,8488,0,4619,732,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1697859,0,10,25,657118,1,1,764544,300789,17686,0,4620,703,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1163256,0,10,15,554488,0,0,316426,136952,16453,0,4621,729,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,9,27,228624,5,0,754446,81149,17732,1,4624,729,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,12,18,874940,0,0,310376,377815,18716,0,4626,729,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1163256,0,8,15,1018930,0,0,60478,579044,17135,0,4627,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
914964,0,13,7,587994,0,0,63668,369683,16775,1,4628,738,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
707788,0,10,16,558690,1,1,299024,155838,7727,0,4629,740,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
877059,0,9,33,701206,0,0,445632,344584,12206,1,4630,680,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1005100,0,7,19,1086646,0,0,463276,228988,3116,0,4631,747,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,7,10,165198,1,1,154000,80465,9648,0,4632,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,10,27,422862,1,1,619564,126350,5157,0,4633,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1039566,0,8,31,479028,0,0,218856,343387,16980,1,4634,717,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
2276523,0,27,14,683210,0,0,357412,329251,38511,1,4636,659,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
714039,0,13,10,163196,0,0,268136,39045,13388,0,4637,738,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
449122,0,5,20,103906,0,0,65010,32756,5839,0,4638,743,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1284210,0,6,10,472758,0,0,237468,255588,6828,0,4640,746,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1097060,0,4,43,434808,1,1,312400,209912,17279,0,4642,747,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
463448,0,13,28,1012682,0,0,173470,188917,5716,0,4643,736,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
847058,0,8,17,505340,0,0,119878,173261,5873,0,4644,749,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,13,9,800536,0,0,214896,319409,18022,1,4647,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1009736,0,11,15,238106,0,0,202356,75677,3728,0,4648,732,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
839097,0,11,18,382140,0,0,365970,262048,11747,0,4649,689,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
758252,0,7,26,243628,0,0,265034,186637,15418,1,4650,692,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
